Норем тендеру,Дата публікації,Дата подачі пропозицій,Назва,Компанія,Контакти,Вартість,Посилання
1931909,Опубліковано: 03.01.2018,Прийом пропозицій до: 11.01.2018 13:52,послуга доступу до мережі Інтернет,ТОВ ВИКОНАВЧИЙ КОМІТЕТ МАРІУПОЛЬСЬКОЇ МІСЬКОЇ РАДИ,"Контактна особа
Шкарбуль Ірина Вадимівна
+380972912312
irina.shkarbul@mariupolrada.gov.ua
87555, Україна, Донецька обл., Маріуполь, пр.Леніна, 70
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/tov-vikonavchiy-komtet-marupolsko-msko-radi/",28 545 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3144954/
1948927,Опубліковано: 10.01.2018,Прийом пропозицій до: 17.01.2018 17:39,Інтернет-послуги,Театр імені Івана Франка,"Контактна особа
Семенова Оксана Олександрівна
+380442795951
o.semenova@ft.org.ua
01001, Україна, Київська обл., Київ, м. Київ, пл. Ів. Франка, 3
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/teatr-men-vana-franka/",99 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3170245/
1959069,Опубліковано: 12.01.2018,Прийом пропозицій до: 29.01.2018 00:00,Послуги з надання доступу до мережі інтернет,"Державна установа ""Український інститут книги""","Контактна особа
Гевак Яна Василівна
380987852023
bookinstitute.ua@gmail.com
Україна, Київська обл., Київ
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/derzhavna-ustanova-ukranskiy-nstitut-knigi/",25 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3185352/
2000985,Опубліковано: 23.01.2018,Прийом пропозицій до: 25.01.2018 15:00,Послуги доступу до мережі Інтернет,Київський національний музей російського мистецтва,"Контактна особа
Ірина Добровольська
+380442877305
dss@knag.museum
01004, Україна, Київська обл., Київ, вулиця Терещенківська, 9
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/kivskiy-natsonalniy-muzey-rosyskogo-mistetstva/",8 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3254095/
534455,Опубліковано: 13.12.2016,Прийом пропозицій до: 16.12.2016 10:27,Послуги доступу до мережі Інтернет,Служба зовнішньої розвідки України,"Контактна особа
Бернацький Віталій Борисович
+380444519337
godz_umrl@ukr.net
04107, Україна, Київська обл., Київ, вул. Нагірна, 24/1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/sluzhba-zovnshno-rozvdki-ukrani/",21 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/778822/
76516,Опубліковано: 23.12.2015,Прийом пропозицій до: 29.12.2015 16:00,Послуги доступу до мережі Інтернет,Служба зовнішньої розвідки України,"Контактна особа
Бернацький Віталій Борисович
+380444519337
godz_umrl@ukr.net
04107, Україна, Київська обл., Київ, вул. Нагірна, 24/1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/sluzhba-zovnshno-rozvdki-ukrani/",20 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/78164/
1978860,No data,No data,Послуги по доступу в мережі Інтернет,Військово-цивільна адміністрація міста Авдіївка Донецької області,"Контактна особа
Насуліч Ганна Василівна
+380623633954
avdvcabuh@gmail.com
Україна, Донецька обл., Авдіївка
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/vyskovotsivlna-admnstratsya-msta-avdvka-donetsko-oblast/",12 600 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3217549/
2000835,No data,No data,широкосмуговий доступ до мережі інтернет,"Територіальне медичне об'єднання ""ПСИХІАТРІЯ"" у місті Києві","Контактна особа
Вільховий Павло Андрійович
044-468-51-91
vmtztmo@ukr.net
04080, Україна, Київська обл., Київ, м.Київ, вул.Фрунзе, 103-А
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/teritoralne-medichne-obdnannya-psihatrya-u-mst-kiv/",18 251.28 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3253863/
1939817,Опубліковано: 05.01.2018,Прийом пропозицій до: 12.01.2018 16:00,Інтернет-послуги,Управління праці та соціального захисту населення Святошинської районної в місті Києві державної адм,"Контактна особа
Мамай Катерина Іванівна
380442732016
sv_zarp@ukr.net
03148, Україна, Київська обл., Київ, вул. Гната Юри, 14-Б
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/upravlnnya-prats-ta-sotsalnogo-zahistu-naselennya-svyatoshinsko-rayonno-v-mst-kiv-derzhavno-adm/",96 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3156698/
1755857,Опубліковано: 29.11.2017,Прийом пропозицій до: 04.12.2017 00:00,Послуги в проведення резервної мережі інтернет,"КОМУНАЛЬНИЙ ЗАКЛАД ""ДНІПРОПЕТРОВСЬКИЙ ЦЕНТР ПЕРИВИННОЇ МЕДИКО - САНІТАРНОЇ ДОПОМОГИ №1""","Контактна особа
Комарова Дарья Сергіївна
380632731129,0994747450
1966gala@i.ua
49000, Україна, Дніпропетровська обл., Дніпро, Столярова, 12
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalniy-zaklad-dnpropetrovskiy-tsentr-perivinno-mediko--santarno-dopomogi-/",37 900 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2830636/
1976175,Опубліковано: 17.01.2018,Прийом пропозицій до: 23.01.2018 16:29,Надання інтернет послуг,Дніпропетровський міський комунальний заклад культури Централізована система публічних бібліотек для,"Контактна особа
Мілкіна Надія Іванівна
+380567447788
nadiya.milkina@gmail.com
49000, Україна, Дніпропетровська обл., Дніпро, вул. Леніна, 23
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dnpropetrovskiy-mskiy-komunalniy-zaklad-kulturi-tsentralzovana-sistema-publchnih-bblotek-dlya/",38 280 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3212959/
1907075,Опубліковано: 26.12.2017,Прийом пропозицій до: 16.01.2018 10:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Житомирської дирекції ПАТ ""Укрпошта"") Лот №1 - 8 точок; Лот №2 - 8 точок код згідно ДК 021:2015-64210000-1","ДП ""Житомирська дирекція УДППЗ ""Укрпошта""""","Контактна особа
Тетяна Романчук
+380503605006
romanchuk-ta@ukrposhta.ua
10001, Україна, Житомирська обл., Житомир, вул. Вітрука 1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-zhitomirska-direktsya-udppz-ukrposhta/",277 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3102817/
1727699,Опубліковано: 22.11.2017,Прийом пропозицій до: 12.12.2017 13:00,"17П-117_облаштування бурових майданчиків інтернет-зв'язком та системою відеоспостереження, створення моніторингових центрів","ПАТ ""Укргазвидобування""","Контактна особа
В'ячеслав Ткаченко
+380444612541
tkachenko@ugv.com.ua
04053, Україна, Київська обл., Київ, вул. Кудрявська 26/28
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/pat-ukrgazvidobuvannya/",59 288 838 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2783068/
130046,Опубліковано: 29.03.2016,Прийом пропозицій до: 01.04.2016 15:00,Інтернет-послуги,Управління освіти та інноваційного розвитку Печерської в місті Києві РДА,"Контактна особа
Ткаченко Анастасія Анатоліївна
2530086
tender.osvita@ukr.net
01021, Україна, Київська обл., Київ, вул. Інститутська, буд. 24/7
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/upravlnnya-osvti-ta-nnovatsynogo-rozvitku-pechersko-v-mst-kiv-rda/",13 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/130153/
695449,Опубліковано: 02.02.2017,Прийом пропозицій до: 08.02.2017 16:00,Надання телекомукаційних послуг (Інтернет),Служба у справах дітей Святошинської районної в місті Києві державної адміністрації,"Контактна особа
Малікова Неля Ярославівна
380444072573
ssd-svyatoshin@ukr.net
03148, Україна, Київська обл., Київ, Юри Гната, 9, каб. 422
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/sluzhba-u-spravah-dtey-svyatoshinsko-rayonno-v-mst-kiv-derzhavno-admnstrats/",3 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1075415/
1911920,Опубліковано: 27.12.2017,Прийом пропозицій до: 11.01.2018 15:00,"Послуги з постачання програмного забезпечення засобами мережі Інтернет, а саме: доступ до WEB-серверу і бази даних до інформаційно-правової системи ""Прецедент"" або еквівалент",Управління інформаційних технологій Дніпропетровської міської ради,"Контактна особа
Зайцева Ірина
+380677551640
infotehnologu@gmail.com
Україна, Дніпропетровська обл., Дніпро
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/upravlnnya-nformatsynih-tehnology-dnpropetrovsko-msko-radi/",125 000 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3111501/
1783189,Опубліковано: 05.12.2017,Прийом пропозицій до: 18.12.2017 13:00,Послуги провайдерів (інтернет),"КЗО ""Дніпропетровська міська спеціалізована школа № 144 з поглибленим вивченням івриту, історії євре","Контактна особа
Волкова Марина
+380992002330
showmust_goon007@ukr.net
49000, Україна, Дніпропетровська обл., Дніпро, ул.Минина 1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/kzo-dnpropetrovska-mska-spetsalzovana-shkola---z-pogliblenim-vivchennyam-vritu-stor-vre/",16 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2876166/
750626,Опубліковано: 17.02.2017,Прийом пропозицій до: 23.02.2017 10:30,Послуги провайдерів (надання доступу до мережі Інтернет через канал безпосереднього зв’язку),Київська міська дитяча клінічна лікарня №1,"Контактна особа
Кожара Юрій Олександрович
380442013256
kmdkl1@ukr.net
04655, Україна, Київська обл., Київ, вул. Богатирська, 30
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/kivska-mska-dityacha-klnchna-lkarnya-/",5 760 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/1170456/
1927053,Опубліковано: 02.01.2018,Прийом пропозицій до: 08.01.2018 07:18,Доступ до мережі Інтернет та організація каналів зв'язку,"ДЕРЖАВНИЙ ЗАКЛАД ""ДНІПРОПЕТРОВСЬКА  МЕДИЧНА АКАДЕМІЯ МІНІСТЕРСТВА ОХОРОНИ ЗДОРОВ’Я УКРАЇНИ""","Контактна особа
Залюбовська Вікторія Володимирівна
+380567440726
vzalubovskaya@ama.dp.ua
Україна, Дніпропетровська обл., Дніпро, 49044, Дніпропетровська обл., місто Дніпро, Жовтневий район,  ВУЛИЦЯ ДЗЕРЖИНСЬКОГО, будинок 9
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/derzhavniy-zaklad-dnpropetrovska--medichna-akademya-mnsterstva-ohoroni-zdorovya-ukrani/",150 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3137665/
1941443,Опубліковано: 09.01.2018,Прийом пропозицій до: 15.01.2018 09:35,Інтернет-послуги,"Управління культури, туризму та охорони культурної спадщини Голосіївської районної в місті Києві дер","Контактна особа
Нагорна Людмила Миколаївна
+380442599260
kultura_grda@ukr.net
03039, Україна, Київська обл., Київ, Проспект 40-річчя Жовтня,42
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/upravlnnya-kulturi-turizmu-ta-ohoroni-kulturno-spadshchini-golosvsko-rayonno-v-mst-kiv-der/",175 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3159180/
1969932,Опубліковано: 16.01.2018,Прийом пропозицій до: 19.01.2018 10:05,Послуги доступу до міжнародної комп’ютерної мережі інтернет,"Комунальне некомерційне підприємство ""Центр первинної медико-санітарної допомоги № 2"" Шевченківськог","Контактна особа
Ганоцька Олена Вікторівна
380444843431
pino11@ukr.net
04050, Україна, Київська обл., Київ, вул. Миколи Пимоненка, 10
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalne-nekomertsyne-pdprimstvo-tsentr-pervinno-medikosantarno-dopomogi---shevchenkvskog/",33 648 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3201097/
1930038,Опубліковано: 02.01.2018,Прийом пропозицій до: 11.01.2018 19:20,Рекламні та маркетингові послуги,інше Комунальне  підприємство  «Редакція газети «Наше місто»   Дніпропетровської  міської  ради,"Контактна особа
Валігурська Тетяна Леонідівна
+380563716707
nashemistodmr@gmail.com
49070, Україна, Дніпропетровська обл., Дніпро, вул. Леніна,14
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/nshe-komunalne--pdprimstvo--redaktsya-gazeti-nashe-msto---dnpropetrovsko--msko--radi/",198 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3142309/
1989087,Опубліковано: 19.01.2018,Прийом пропозицій до: 23.01.2018 14:53,Послуги доступу до мережі Інтернет,Департамент з питань державного архітектурно-будівельного контролю міста Києва виконавчого органу Ки,"Контактна особа
Омельчук Інна Борисівна
+380442796224
inna.omelchuk@ukr.net
01001, Україна, Київська обл., Київ, вул. Трьохсвятительська, 4-В
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/departament-z-pitan-derzhavnogo-arhtekturnobudvelnogo-kontrolyu-msta-kiva-vikonavchogo-organu-ki/",14 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3233840/
1975531,Опубліковано: 17.01.2018,Прийом пропозицій до: 25.01.2018 22:00,Послуги доступу до мережі Інтернет по некомутованим каналам,Дніпропетровська обласна універсальна наукова бібліотека ім. Первоучителів слов'янських Кирила і Меф,"Контактна особа
Вікторія Вікторівна Панюшкіна
+380567708152
buch2@libr.dp.ua
49006, Україна, Дніпропетровська обл., Дніпро, ул. Ю. Савченка, 10
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dnpropetrovska-oblasna-unversalna-naukova-bbloteka-m-pervouchitelv-slovyanskih-kirila--mef/",43 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3211911/
1981278,Опубліковано: 18.01.2018,Прийом пропозицій до: 25.01.2018 14:10,72410000-7 Послуги провайдерів Послуги по підключенню та наданню абонентного доступу до мережі Інтернет,"Міський комунальний заклад культури ""Дніпропетровська дитяча музична школа""  №1","Контактна особа
Людмила Кузюкіна
+380966662545
muz.shkola@ukr.net
49044, Україна, Дніпропетровська обл., Дніпро, вул.Гоголя, 14а
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/mskiy-komunalniy-zaklad-kulturi-dnpropetrovska-dityacha-muzichna-shkola--/",6 288 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3221451/
1979406,No data,No data,"Послуги телекомунікаційні з доступу до мережі Інтернет, послуги з обслуговування сайтів, підтримання доменного імені",Філія «Вінницятрансприлад»  ПАТ «Українська залізниця»,"Контактна особа
Рибачук Олександр
+380432632757
vtransprylad@ukr.net
Україна, Вінницька обл., Вінниця, пл. Привокзальна, буд.1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/flya-vnnitsyatransprilad--pat-ukranska-zalznitsya/",14 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3218441/
1990992,No data,No data,Послуги з передавання даних мережами проводового зв'язку та зв'язку з інтернетом для працездатності Запорізької Муніципальної Інтегрованої Системи Обробки Інформації.,"Комунальне підприємство ""Центр управління інформаційними технологіями""","Контактна особа
Біляєва Світлана Сергіївна
+380612280239
svitlana.bilyaeva@itmc.zp.gov.ua
69105, Україна, Запорізька обл., ЗАПОРІЖЖЯ, місто Запоріжжя, проспект Соборний 206, кімната 424
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalne-pdprimstvo-tsentr-upravlnnya-nformatsynimi-tehnologyami/",135 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3236905/
1464815,Опубліковано: 20.09.2017,Прийом пропозицій до: 25.09.2017 11:40,Ліцензія на 1 рік на програмне забезпечення Cisco Webex (1 хост з підключенням до 200 користувачів),Тернопільська облдержадміністрація,"Контактна особа
Нечипорук Тетяна Володимирівна
+380352523085
palamar@te.gov.ua
46021, Україна, Тернопільська обл., Тернопіль, вулиця Грушевського 8
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/ternoplska-oblderzhadmnstratsya/",9 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2350650/
111093,Опубліковано: 03.03.2016,Прийом пропозицій до: 14.03.2016 16:00,"Послуги супроводу програмних продуктів 1С:Предприятие 7.7 конфігурація ""Санлайн.Бюджетна установа""",МКЗК ДДМШ№18,"Контактна особа
Демяненко Ольга Володимирівна
+380968057747
muzshkola18dnepr@i.ua
49112, Україна, Дніпропетровська обл., Дніпро, вул. Електрична,8
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/mkzk-ddmsh/",700 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/111628/
1928603,Опубліковано: 02.01.2018,Прийом пропозицій до: 17.01.2018 16:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Кіровоградської дирекції ПАТ ""Укрпошта"") код згідно ДК 021:2015-64210000-1","ГП ""Кіровоградська дирекція УДППЗ ""Укрпошта""""","Контактна особа
Рустам Михайлович Тюртюбек
+380522358740,+380673981123
tyurtyubek-rm@ukrposhta.ua
25006, Україна, Кіровоградська обл., Кропивницький, Гоголя 72
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/gp-krovogradska-direktsya-udppz-ukrposhta/",1 614 600 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3140037/
94537,Опубліковано: 09.02.2016,Прийом пропозицій до: 11.02.2016 12:19,"технічний супровод прграмного комплексу ""Єдина  інформаційна система управління місцевим  бюджетом""",Управління у справах молоді та спорту Дніпропетровської міської ради,"Контактна особа
Юлія Павлюк
+380567441456, +380567441365
dneprsport.buh@gmail.com
49000, Україна, Дніпропетровська обл., Дніпро, просп.Карла Маркса 75
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/upravlnnya-u-spravah-molod-ta-sportu-dnpropetrovsko-msko-radi/",2 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/95511/
9161,Опубліковано: 07.09.2015,Прийом пропозицій до: 16.09.2015 17:00,Закупівля послуг з оновлення програмного забезпечення реєстраторів розрахункових операцій «СПЕККА-00,"Регіональна філія «Придніпровська залізниця» ПАТ ""Українська залізниця""","Контактна особа
Лупан Олег
(056) 793-35-45
o.lupan@dp.uz.gov.ua
49600, Україна, Дніпропетровська обл., Дніпро, пр. К.Маркса 108
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/regonalna-flya-pridnprovska-zalznitsya-pat-ukranska-zalznitsya/",168 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/36371/
1871202,Опубліковано: 19.12.2017,Прийом пропозицій до: 14.01.2018 23:59,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Запорізької дирекції),"ДП ""Запорізька дирекція УДППЗ ""Укрпошта""""","Контактна особа
Олеся Мірошник
+380501500877,+380501506631
tenderzap@ukrposhta.com
69005, Україна, Запорізька обл., ЗАПОРІЖЖЯ, м. Запоріжжя, пр-т Леніна, 133
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-zaporzka-direktsya-udppz-ukrposhta/",2 483 800 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3034769/
1833382,Опубліковано: 13.12.2017,Прийом пропозицій до: 03.01.2018 18:00,Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Закарпатської дирекції),"ДП ""Закарпатськка дирекція УДППЗ ""Укрпошта""""","Контактна особа
Владислав Владиславович Огразанський
+380954038457
ograzanskyy-vv@ukrposhta.ua
88000, Україна, Закарпатська обл., Ужгород, пл. Поштова 4
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-zakarpatskka-direktsya-udppz-ukrposhta/",1 994 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2963070/
2018991,Опубліковано: 25.01.2018,Прийом пропозицій до: 29.01.2018 11:00,Послуги з надання доступу до мережі Інтернет,"Державний навчальний заклад ""Київський центр професійно-технічної освіти""","Контактна особа
Соколова Галина Іванівна
380444000102
kpeml@email.ua
03062, Чистяківська, 24
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/derzhavniy-navchalniy-zaklad-kivskiy-tsentr-profesynotehnchno-osvti/",9 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3285357/
1962413,Опубліковано: 15.01.2018,Прийом пропозицій до: 23.01.2018 15:00,Послуги провайдерів – за кодом CPV за кодом – ДК 021:2015 – 72410000-7 (Послуги доступу до Інтернет) у березні - травні 2018 р.,Державна служба фінансового моніторингу України,"Контактна особа
Володимир Давидюк
+380445941650
vdaviduk@sdfm.gov.ua

Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/derzhavna-sluzhba-fnansovogo-montoringu-ukrani/",25 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3190533/
1936073,Опубліковано: 04.01.2018,Прийом пропозицій до: 25.01.2018 17:00,"ДК 021:2015: (CPV): 79340000-9 Рекламні та маркетингові послуги (Висвітлення діяльності Дніпровської міської ради, її виконавчих органів, посадових осіб та депутатів через засоби масової інформації – в мережі інтернет)","Комунальне підприємство ""Організаційно-аналітична служба"" Дніпропетровської міської ради","Контактна особа
Коман Ксенія Андріївна
380937810239
oas_kp@ukr.net
Україна, Дніпропетровська обл., Дніпро
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalne-pdprimstvo-organzatsynoanaltichna-sluzhba-dnpropetrovsko-msko-radi/",4 400 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3151002/
1839707,Опубліковано: 14.12.2017,Прийом пропозицій до: 15.01.2018 15:00,"Послуги телефонного зв’язку та передачі даних (Послуги надання доступу до всесвітньої мережі Інтернет для Житомирської дирекції ПАТ ""Укрпошта"") Лот №1 - 21 точка; Лот №2 - 14 точок","ДП ""Житомирська дирекція УДППЗ ""Укрпошта""""","Контактна особа
Тетяна Романчук
+380503605006
romanchuk-ta@ukrposhta.ua
10001, Україна, Житомирська обл., Житомир, вул. Вітрука 1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/dp-zhitomirska-direktsya-udppz-ukrposhta/",646 200 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2974275/
2000746,Опубліковано: 23.01.2018,Прийом пропозицій до: 25.01.2018 11:00,"Забезпечення потреб зон дротового та  Wi-Fi покриття через канал доступу до мережі Інтернет для КМГМ «ЛАВРА» по вул. Лаврська, 7","Київська міська галерея мистецтв ""Лавра""","Контактна особа
Київська Галерея ЛАВРА
380938088868
lavra.art.gallery@gmail.com
01015, Україна, Київська обл., Київ, вул. Лаврська, 1
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/kivska-mska-galereya-mistetstv-lavra/",47 000 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/3253679/
389492,Опубліковано: 24.10.2016,Прийом пропозицій до: 31.10.2016 22:00,"Послуги щодо розміщування інформації на веб-порталі за кодом  ДК 016:2010 63.12.1 (Послуги у сфері інформаційних технологій: консультування, розробка програмного забезпечення, послуги мережі Інтернет і послуги з підтримки за кодом СРV за ДК 021:2015 72000000-5) Модернізація київського туристичного п...",Комунальне підприємство виконавчого органу київської міської ради (київської міської державної адмін,"Контактна особа
Секістов Віктор Вікторович
380504623535
sekistov@bigmir.net
01103, Україна, Київська обл., Київ, Кіквідзе, 21
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalne-pdprimstvo-vikonavchogo-organu-kivsko-msko-radi-kivsko-msko-derzhavno-admn/",199 900 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/541936/
1402731,Опубліковано: 04.09.2017,Прийом пропозицій до: 06.09.2017 17:15,Інтернет послуги. Провайдер,"ТВЗК ""Київський академічний театр ляльок""","Контактна особа
Тумаєв Богдан Анатолійович
380442780559
bigmanuna@gmail.com
01001, Україна, Київська обл., Київ, вул. М. Грушевського 1а
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/tvzk-kivskiy-akademchniy-teatr-lyalok/",6 500 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2251694/
543453,Опубліковано: 14.12.2016,Прийом пропозицій до: 16.12.2016 22:00,"Послуги щодо обробляння даних, розміщування інформації на веб-вузлах, щодо програмного застосування та інші послуги щодо забезпечення інформаційно-технологічною інфраструктурою за кодом  ДК 016:2010  - 63.11.1 (Інтернет-послуги за кодом  СРV за  ДК 021:2015 72400000-4), а саме забезпечення роботи до...",Комунальне підприємство виконавчого органу київської міської ради (київської міської державної адмін,"Контактна особа
Секістов Віктор Вікторович
380504623535
sekistov@bigmir.net
01103, Україна, Київська обл., Київ, Кіквідзе, 21
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/komunalne-pdprimstvo-vikonavchogo-organu-kivsko-msko-radi-kivsko-msko-derzhavno-admn/",41 400 грн. з ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/794897/
1278886,Опубліковано: 27.07.2017,Прийом пропозицій до: 31.07.2017 22:00,Популярізація театру на інтернет сервісі та в соціальній мережі,"ТВЗК ""Київський академічний театр ляльок""","Контактна особа
Тумаєв Богдан Анатолійович
380442780559
bigmanuna@gmail.com
01001, Україна, Київська обл., Київ, вул. М. Грушевського 1а
Веб сайт: 
												     


Всі тендери організатора https://smarttender.biz/publichni-zakupivli-prozorro/tvzk-kivskiy-akademchniy-teatr-lyalok/",6 500 грн. без ПДВ,https://Smarttender.biz/publichni-zakupivli-prozorro/2057321/
